PuzzleId,FEN,Moves,Rating,ThemeList
OYlOJ,8/8/p3r3/r2kPR2/6P1/5R2/5K2/8 b - - 0 56,e6e5 f5e5 d5e5 f3f5 e5d4 f5a5,1654,"[""attraction"", ""crushing"", ""endgame"", ""long"", ""master"", ""rookEndgame"", ""skewer""]"
PXWB3,r2qk2r/ppp2ppp/2n2n2/3pN3/Qb1P2b1/2N5/PP1BPPPP/R3KB1R b KQkq - 7 8,e8g8 e5c6 b7c6 a4b4,1308,"[""advantage"", ""capturingDefender"", ""opening"", ""short""]"
QPRri,rnbBk2r/pp1p1ppp/8/4p3/1b6/2n5/PP2PPPP/R2QKBNR w KQkq - 0 8,b2c3 b4c3 d1d2 c3d2 e1d2 e8d8,1432,"[""advantage"", ""fork"", ""long"", ""opening""]"
4xLZI,3r2k1/3r1pp1/3P3p/ppq5/2b1B2Q/8/2PR2PP/3R3K b - - 1 27,d7d6 h4d8 d6d8 d2d8,1391,"[""crushing"", ""middlegame"", ""short"", ""xRayAttack""]"
T9es2,r4rk1/ppp2pbp/4p1p1/4P3/3P4/q1P1QB1P/P4PP1/R3K2R w KQ - 1 17,f3b7 a3b2 e1g1 b2b7,1924,"[""crushing"", ""fork"", ""middlegame"", ""short""]"
XqAbn,4rrk1/p1p2ppp/2q5/8/1Q2R3/6P1/PPP2PKP/R7 w - - 1 24,a1e1 f7f5 b4c4 c6c4 e4c4 e8e1,1952,"[""advantage"", ""endgame"", ""long""]"
PCHPh,6k1/b1p5/5Bpp/pp2N3/P3r3/6Pb/1P3P1P/3R2K1 b - - 1 30,e4e2 d1d8 g8h7 d8h8,915,"[""endgame"", ""mate"", ""mateIn2"", ""operaMate"", ""short""]"
GSgNj,4r1k1/5pp1/1QN1pn1p/8/7n/B6P/PP1q1PP1/5RK1 w - - 1 27,b6d4 d2g5 d4h4 g5h4,1734,"[""advantage"", ""middlegame"", ""short""]"
LFz8o,r1b2rk1/pp2bqpp/2nQ4/2p1pp2/2P5/P1P1PNBP/4BPP1/R2R2K1 w - - 6 17,f3e5 e7d6 e5f7 d6g3,1725,"[""advantage"", ""middlegame"", ""short""]"
7bMhc,r1bqr3/ppp2pbk/5npp/4N3/2P4P/2NBP3/PP1Q1PP1/R3K2R b KQ - 0 13,e8e5 d3g6 f7g6 d2d8,1261,"[""advantage"", ""discoveredAttack"", ""middlegame"", ""short""]"
9ds7W,5rk1/p1Q2ppp/2n2q2/3p4/3P4/2rBP3/5PPP/R3K2R w KQ - 0 17,d3b5 c6d4 c7c3 d4f3 e1e2 f6c3,1893,"[""crushing"", ""discoveredAttack"", ""long"", ""middlegame"", ""sacrifice""]"
p0kxt,1r1q1rk1/1p1bnpb1/p2Np3/2ppP1N1/8/1PPP4/1P3PPP/R2QR1K1 b - - 0 17,e7g6 d1h5 d8g5 h5g5,1162,"[""crushing"", ""opening"", ""short""]"
H6lQu,3r3k/4r1pp/1qp1Bp1n/p4P2/5P2/P6P/3Q2P1/4RR1K w - - 2 33,d2e3 b6e3 e1e3 h6f5 e6f5 e7e3,1395,"[""advantage"", ""attraction"", ""long"", ""middlegame""]"
5fzfs,R4n2/3r2p1/3b1p2/1k2pqp1/2P5/1P2Q3/1K3P2/8 b - - 0 34,b5c6 a8a6 c6c7 e3b6 c7c8 a6a8 d6b8 b6b8,1853,"[""endgame"", ""exposedKing"", ""mate"", ""mateIn4"", ""veryLong""]"
FrcIm,8/1pp2k2/p3p3/2n1P3/8/P1B1K3/1P6/8 b - - 3 41,f7e7 c3b4 b7b6 e3d4 e7e8 b4c5,1638,"[""crushing"", ""endgame"", ""long"", ""pin""]"
vSEgB,4r3/p4kp1/N4p1p/3p4/1Pp5/4KP1P/P7/4R3 w - - 2 34,e3d2 c4c3 d2d1 c3c2 d1c2 e8e1,1280,"[""advancedPawn"", ""crushing"", ""deflection"", ""endgame"", ""exposedKing"", ""long""]"
5UzLa,5r1k/q4Rpp/3p4/rppB4/4P1Q1/P2P4/2P3PP/b5K1 b - - 0 21,f8f7 g4c8 f7f8 c8f8,903,"[""endgame"", ""mate"", ""mateIn2"", ""short""]"
oSrnn,r1b3k1/ppp2pp1/2p1r1q1/4n3/P3PRB1/2N1P2P/1PP4K/R2Q4 b - - 0 17,e6f6 d1d8 g8h7 g4f5 e5f3 f4f3,2235,"[""advantage"", ""long"", ""middlegame"", ""pin""]"
IKu9m,3R4/5pk1/p1q3p1/r6p/8/7P/1Q3PP1/6K1 b - - 3 39,c6f6 d8g8 g7g8 b2f6,1103,"[""crushing"", ""deflection"", ""endgame"", ""short""]"
uXlK6,4r3/ppp3k1/2n2nq1/2Q2rp1/4P3/1BP3B1/P1P2PKR/7R b - - 0 25,f6e4 h2h7 g6h7 h1h7,1435,"[""crushing"", ""middlegame"", ""short""]"
CH0Jx,4Q3/8/1pb3p1/p1p3Np/P1P2k2/1P2R3/8/3r2K1 w - - 1 47,g1f2 c6e8 g5h3 f4g4 f2e2 d1d8,2047,"[""crushing"", ""defensiveMove"", ""endgame"", ""long""]"
tQqhY,2Q1R3/1pp2rpk/p2p1p1p/3P4/1PP2P2/3n4/6PP/1q2B1K1 b - - 4 31,d3e1 e8h8 h7g6 c8g4,1427,"[""endgame"", ""mate"", ""mateIn2"", ""short""]"
PCWZ9,r2qnr1k/2b4P/2p3Q1/1pPp4/3Pp3/1PN1P3/1B1N4/3Kn1R1 b - - 2 31,d8f6 g6g8 f8g8 h7g8q,1492,"[""advancedPawn"", ""kingsideAttack"", ""mate"", ""mateIn2"", ""middlegame"", ""promotion"", ""short""]"
796Rn,6k1/p5pp/1p3b2/3R4/1P3N2/P1r2R1P/5KP1/4r3 b - - 4 30,e1e5 f3c3 e5d5 f4d5 f6c3 d5c3,1895,"[""crushing"", ""endgame"", ""hangingPiece"", ""long""]"
ubJfP,r1br2k1/p3q1p1/1p5p/2ppN1p1/P2P1Q2/2P1P3/5PPP/R3R1K1 w - - 0 21,e5c6 e7d7 f4g3 d7c6,2112,"[""advantage"", ""middlegame"", ""short""]"
AruZv,r3k2r/p2q1pp1/2b2nn1/3P3p/2P1p2P/1B2B3/1P2Q1P1/R5KR b kq - 0 21,c6b7 b3a4 d7a4 a1a4,998,"[""advantage"", ""middlegame"", ""pin"", ""short""]"
fpKt9,r6r/p1R2Rk1/1p1Qb1pp/4P3/4q3/8/P5PP/3B2K1 b - - 0 34,e6f7 d6f6 g7g8 f6f7,1385,"[""mate"", ""mateIn2"", ""middlegame"", ""pin"", ""short""]"
FQzyc,3k4/6Q1/4p3/3pP3/3Pp3/1P2Pqp1/P1P5/2KN4 w - - 4 40,g7f6 f3f6 e5f6 g3g2 d1c3 g2g1q,1713,"[""advancedPawn"", ""crushing"", ""endgame"", ""long"", ""promotion""]"
VUpSk,7k/pp4p1/6b1/2p1B3/3P4/1PPq1KQP/P7/8 w - - 6 39,f3f4 d3e4 f4g5 e4f5 g5h4 f5h5,1547,"[""endgame"", ""long"", ""mate"", ""mateIn3""]"
dnc4a,8/8/8/1p1kp3/2p3p1/2K1B1P1/8/8 w - - 0 46,c3b4 d5e4 e3d2 e4d3,1483,"[""bishopEndgame"", ""crushing"", ""endgame"", ""short""]"
mBe8U,3r3r/2p1bkp1/2QN1nNp/P7/q6P/3P4/4K1P1/7R b - - 6 29,d8d6 g6h8 f7g8 c6a4,2081,"[""crushing"", ""hangingPiece"", ""middlegame"", ""short""]"
wwGtQ,5k2/R7/p2n1K2/3r3p/1P4p1/P7/2P2P1P/8 b - - 3 34,d6c4 a7a8 d5d8 a8d8,1092,"[""endgame"", ""mate"", ""mateIn2"", ""short""]"
Md6GK,r4b1r/1p1kpppp/p7/2PpN3/4nB2/R3P3/2P2PPP/4K2R b K - 1 15,d7e6 a3b3 b7b5 c5b6,2146,"[""crushing"", ""enPassant"", ""master"", ""middlegame"", ""short""]"
IZhqy,r1b2r2/3p1nkp/p2qp1p1/1p6/2p3Q1/N1P4R/PPB3PP/R6K b - - 1 22,d6e7 h3h7 g7h7 g4g6 h7h8 g6h7,1562,"[""attraction"", ""long"", ""mate"", ""mateIn3"", ""middlegame"", ""sacrifice""]"
aaXE5,r5k1/1b1q1r1p/1p3np1/p1pP1p2/2PQ2P1/1PBB4/P6P/R4RK1 w - c6 0 25,d5c6 d7c6 d3e4 c6e4,2084,"[""advantage"", ""middlegame"", ""short""]"
4Kegd,7r/ppN1kppp/5n2/8/4p3/2PBqn2/PPK4P/R2Q1R2 w - - 0 20,d3e2 h8d8 e2f3 d8d1,1540,"[""advantage"", ""middlegame"", ""short""]"
cVdWy,rnbq1rk1/pp3pb1/3p1n2/2pP2B1/8/2NBP3/PP3PPP/R2QK2R b KQ - 0 12,c8g4 g5f6 g4d1 f6d8,1518,"[""advantage"", ""middlegame"", ""short""]"
cE7GI,r6k/2Q3p1/8/5p1p/1P1Pp3/2P1q2P/6P1/5R1K w - - 5 32,c7f4 e3f4 f1f4 a8a1 h1h2 e4e3 f4f5 e3e2,1604,"[""advancedPawn"", ""advantage"", ""endgame"", ""veryLong""]"
LFwjT,7r/4p1k1/p2p1pp1/q4n2/4QP1p/1PB4P/P1R3PK/8 b - - 3 26,a5a3 c3b4 d6d5 e4e1 a3b4 e1b4,2029,"[""crushing"", ""endgame"", ""long"", ""trappedPiece""]"
GQM59,r2qk2r/pp1n2pp/4bn2/3pN1B1/1b1PN3/1B6/PP3PPP/R2QK2R w KQkq - 1 12,g5d2 f6e4 d2b4 d7e5,2471,"[""advantage"", ""hangingPiece"", ""master"", ""opening"", ""short""]"
gvXXp,r4r2/1bqp1pp1/p1n1p1k1/1pbnP1N1/7P/P1P5/1P1BQPP1/RN2K2R b KQ - 0 14,f7f5 h4h5 g6h6 g5e6 h6h7 e6c7,1509,"[""crushing"", ""discoveredAttack"", ""discoveredCheck"", ""long"", ""middlegame""]"
ype8M,8/p5p1/1pQ1k3/8/2p5/5PP1/4q3/6K1 b - - 7 45,e6e5 c6e8 e5d5 e8e2,1276,"[""crushing"", ""endgame"", ""master"", ""masterVsMaster"", ""queenEndgame"", ""short"", ""skewer""]"
8vHrG,2r2rk1/3nqppp/p1p1p3/1p2b1P1/2P1Q2P/1PN1P3/PB2KP2/2RR4 b - - 1 22,f7f5 d1d7 e7d7 e4e5,1748,"[""capturingDefender"", ""crushing"", ""master"", ""middlegame"", ""short""]"
tUvZW,5rk1/3R1p1p/1Q4p1/p1r3q1/4B3/5PPn/PP3P2/3R2K1 w - - 0 25,g1h2 h3f2 d7d5 g5h6,1987,"[""advantage"", ""master"", ""middlegame"", ""short""]"
YlbKV,2rq1rk1/p3bppp/bp2p3/3nN1P1/2pP3B/2P2Q2/PPB2P1P/R3K1R1 b Q - 2 17,a6b7 f3h5 g7g6 e5g6 f7g6 c2g6 f8f7 g6f7,2701,"[""crushing"", ""kingsideAttack"", ""middlegame"", ""veryLong""]"
s0F5p,1rb4k/2p1p1bp/p5p1/1p1Bn1Nn/3B4/2N5/PPP3PP/R5K1 b - - 0 18,c8f5 d4e5 g7e5 g5f7 h8g7 f7e5,1462,"[""advantage"", ""fork"", ""long"", ""middlegame""]"
W9tvm,3b3k/5p1p/2p2p1Q/p2qpPr1/Pp5N/1P5P/2P2PP1/4R1K1 b - - 6 31,d5d2 h4g6 g5g6 h6d2,2229,"[""crushing"", ""endgame"", ""pin"", ""short""]"
aGVTK,4r1k1/p3rp2/1p3qp1/2pB4/2Pb1P2/1P2p1RP/P1Q4K/4R3 b - - 0 30,f6f4 c2g6 g8h8 g6h5 f4h6 h5h6,1856,"[""kingsideAttack"", ""long"", ""mate"", ""mateIn3"", ""middlegame"", ""pin""]"
2fmHv,2kr3r/1pp2ppp/4Nn2/1p2b3/1P6/P2PB3/4BPPP/R4RK1 b - - 0 21,e5a1 e6d8 h8d8 f1a1,1467,"[""advantage"", ""intermezzo"", ""middlegame"", ""short""]"
JYdVm,k1r1r3/1p4p1/b1q2p2/Q1B2P2/P2pP3/3P2Pp/7P/R4RK1 w - - 5 34,f1c1 e8e5 a1b1 e5c5 a5c5 c6c5 c1c5 c8c5,2075,"[""crushing"", ""master"", ""middlegame"", ""veryLong""]"
gEd65,3r2k1/n3bpp1/p2P3p/q3Pp2/Pp4P1/4B2P/P2QN3/2R3K1 b - - 0 28,f5g4 d6e7 d8d2 e7e8q,1624,"[""advancedPawn"", ""crushing"", ""kingsideAttack"", ""middlegame"", ""promotion"", ""short""]"
unEIs,3r1b1r/2kqp1pp/Q1p2p2/2p5/R2P4/4P3/PP1B1PPP/4K2R w K - 2 17,d4c5 d7d2 e1f1 d2d1,639,"[""mate"", ""mateIn2"", ""middlegame"", ""short""]"
iHlgp,1r1qr1k1/1b1pn1bp/1p1Q2p1/p5N1/Pn2p3/2N1B3/1P2BPPP/1R3RK1 b - - 1 17,e7f5 e2c4 b7d5 c4d5 b4d5 d6d5,1181,"[""crushing"", ""kingsideAttack"", ""long"", ""middlegame""]"
wrsRq,r1r3k1/p4ppp/5b2/8/2b5/2N2P2/PPPqNQPP/2R2RK1 w - - 5 19,c3e4 d2e2 f2e2 c4e2 e4f6 g7f6,1504,"[""advantage"", ""long"", ""middlegame""]"
inFsX,6k1/5ppp/8/Qp6/2qPP3/P4K2/8/8 b - - 2 42,c4d4 a5a8 d4d8 a8d8,825,"[""backRankMate"", ""endgame"", ""mate"", ""mateIn2"", ""queenEndgame"", ""short""]"
z5kkW,r2r2k1/5pbp/pP6/1q1p4/2NnpQBP/1P5R/P4PP1/2R2K2 w - - 0 26,g4h5 d5c4 h5f7 g8h8,1625,"[""advantage"", ""master"", ""middlegame"", ""short""]"
LkVw3,2r4k/p5q1/3Nb1Pp/3pPp2/2nP3Q/P7/7P/6RK b - - 1 34,c8f8 d6f7 e6f7 g6f7,1219,"[""advancedPawn"", ""advantage"", ""master"", ""middlegame"", ""short""]"
xstZ3,r4rk1/pp1n2pp/2p2n2/2Pp4/3Pp3/BQP1q3/P2NBR2/5RK1 b - - 1 19,e3d2 a3c1 d2e2 f2e2,1977,"[""crushing"", ""middlegame"", ""short"", ""trappedPiece""]"
DKYiR,5r1k/2p3p1/2P4p/1P1q4/R2b4/6PP/5P1K/3QR3 w - - 0 44,a4d4 f8f2 h2g1 d5g2,983,"[""endgame"", ""mate"", ""mateIn2"", ""short""]"
owdVM,r7/5p2/p2Pk3/4P2p/R5p1/4BpPP/1r3P1K/8 b - - 3 48,e6e5 e3d4 e5d6 d4b2,1758,"[""advantage"", ""endgame"", ""fork"", ""master"", ""masterVsMaster"", ""short""]"
r53Ce,1r4k1/3Q1p1p/6pb/1r2Pp2/p1N1qP2/P5P1/1PP4P/2KR3R w - - 5 26,c4d6 e4e3 d1d2 b5b2 d7f7 g8h8 f7f6 h6g7,2146,"[""crushing"", ""middlegame"", ""veryLong""]"
qYxG8,r3kb1r/pp3pp1/2n1p3/3pP2p/Q1pP1P2/2P2N2/Pq1N1BPP/1R4K1 b kq - 0 15,b2c3 b1b7 a8c8 b7b8 c8b8 a4c6 e8d8 f2h4 f7f6 e5f6,2322,"[""advantage"", ""deflection"", ""master"", ""middlegame"", ""pin"", ""veryLong""]"
A7T8J,8/p1PR4/8/8/5p2/5kp1/P4P1K/2r5 w - - 0 45,f2g3 f4g3 h2h3 c1h1,1544,"[""endgame"", ""master"", ""mate"", ""mateIn2"", ""rookEndgame"", ""short""]"
JJo9w,8/8/8/3p1pk1/2pP4/2P3Pp/5K1P/8 b - - 1 56,g5g4 f2e3 f5f4 g3f4,1202,"[""crushing"", ""endgame"", ""pawnEndgame"", ""short"", ""zugzwang""]"
niYYB,8/8/P7/8/R7/3pk3/7r/5K2 w - - 0 57,a6a7 d3d2 a4a3 e3d4,1862,"[""advancedPawn"", ""crushing"", ""defensiveMove"", ""endgame"", ""rookEndgame"", ""short""]"
bWeNG,8/pQ5p/1b3qpk/3P4/8/8/P4PPP/R3R2K w - - 3 30,e1e6 f6a1 e6e1 a1e1,1014,"[""backRankMate"", ""endgame"", ""hangingPiece"", ""mate"", ""mateIn2"", ""short""]"
WU76P,r7/p2qkp1p/1bn1pr2/3B1bQ1/8/2N4P/PPP1PP2/2KR3R b - - 2 20,e6d5 c3d5 d7d5 d1d5,1158,"[""advantage"", ""fork"", ""master"", ""middlegame"", ""short""]"
pibxW,2kr3r/npp3b1/p4n2/P4qpp/1PB1N3/3PP1Q1/2R1K1PP/1R6 b - - 5 22,f6e4 c4e6 c8b8 g3c7 b8a8 e6f5,1861,"[""crushing"", ""fork"", ""long"", ""middlegame""]"
6GZQu,4r1k1/pp3pp1/6q1/7p/3Q2bR/4PNK1/PP3P2/8 b - - 4 25,e8e4 d4d8 g8h7 f3g5 h7h6 g5e4,1860,"[""advantage"", ""endgame"", ""fork"", ""long""]"
eyxGa,8/pp2R3/2p3pP/2q2pk1/8/2P1p1P1/1P3PK1/3R4 b - - 1 37,e3f2 h6h7 c5e7 h7h8q,1130,"[""advancedPawn"", ""crushing"", ""endgame"", ""promotion"", ""queenRookEndgame"", ""short""]"
tEz4s,r1bbk1nr/ppp2p1p/2np2p1/3Np1B1/2B1P3/3P1N2/PPP2PPP/R3K2R b KQkq - 6 11,g8e7 d5f6 e8f8 g5h6,1443,"[""mate"", ""mateIn2"", ""middlegame"", ""short""]"
2aBcK,8/2p1q2p/p1kp2pB/1p2n3/1P2Q3/2P2P1P/1P4K1/8 b - - 4 43,c6b6 h6e3 c7c5 b4c5 d6c5 b2b4 b6c7 e3f4,2428,"[""crushing"", ""endgame"", ""veryLong""]"
gZaUS,6k1/5pp1/4p2p/5q2/1PQ5/2P4P/3r1rP1/1R3RK1 w - - 0 28,f1f2 f5f2 g1h2 f2g2,984,"[""endgame"", ""mate"", ""mateIn2"", ""short""]"
UnO9w,1r6/3k4/3P4/3K4/8/1p5R/8/8 w - - 0 55,h3h2 b8b5 d5c4 b3b2 c4b5 b2b1q,2177,"[""advancedPawn"", ""crushing"", ""endgame"", ""long"", ""promotion"", ""rookEndgame""]"
39Szz,5r2/1p2p1kp/p4qp1/2Q5/3P4/2P4P/P1P3P1/R5K1 w - - 0 22,a1e1 f6f2 g1h2 f2e1 c5e5 e1e5,1099,"[""crushing"", ""endgame"", ""fork"", ""long""]"
BTkqz,6k1/5pp1/5b1p/8/1PB1QP2/2P3PK/1q5P/3r4 b - - 0 38,b2c3 e4e8 g8h7 c4f7 c3c8 e8c8,1828,"[""crushing"", ""deflection"", ""endgame"", ""long""]"
18z2e,8/3p4/8/8/1p1k3P/8/8/3K4 b - - 0 45,d4c3 h4h5 b4b3 d1c1 b3b2 c1b1 d7d6 h5h6,2205,"[""crushing"", ""endgame"", ""pawnEndgame"", ""quietMove"", ""veryLong""]"
Njura,4r3/p6p/5bkB/P2Q1pp1/3P4/2P4P/3n1PP1/6K1 w - - 1 27,h3h4 e8e1 g1h2 d2f1,1781,"[""crushing"", ""endgame"", ""short""]"
9IZev,4Q3/8/2p2qkp/pp1p2p1/8/P3P2P/2P3P1/6K1 b - - 5 34,g6f5 g2g4,1496,"[""endgame"", ""mate"", ""mateIn1"", ""oneMove"", ""queenEndgame""]"
GOedf,r4rk1/7n/6R1/6pp/P7/QP5P/2q2PP1/4R1K1 b - - 2 37,g8h8 a3a1 f8f6 g6f6,1896,"[""crushing"", ""middlegame"", ""short""]"
qnS6v,1k3r2/1b1n1r2/pqn1Q3/3pP1Bp/Rb1P3P/1pN1N3/1P3PP1/3R2K1 b - - 0 29,c6d4 e6b6 d7b6 a4b4,1762,"[""capturingDefender"", ""crushing"", ""middlegame"", ""short""]"
k443F,6k1/5p2/4pp1p/1P5r/2B1P3/4K3/2P2P2/8 b - - 0 39,g8f8 b5b6 h5c5 b6b7 c5c4 b7b8q,1226,"[""advancedPawn"", ""advantage"", ""endgame"", ""long"", ""promotion""]"
BCoxq,8/8/4k3/4p3/2P3pr/1P5P/3K4/7R w - - 0 32,d2e3 h4h3 h1h3 g4h3 e3f2 e5e4,1854,"[""crushing"", ""defensiveMove"", ""endgame"", ""long"", ""rookEndgame""]"
mrK2F,2rr2k1/pp1n1ppp/4p3/2q1P3/8/2N4P/PP2QPP1/2RR2K1 b - - 2 18,c5e5 d1d7 e5e2 d7d8 c8d8 c3e2,1671,"[""crushing"", ""long"", ""middlegame""]"
Oz52P,r1b1k2r/ppp1bppp/2p5/4P3/3P3q/8/PPP3PP/RNBQ1BKR w kq - 3 9,d1f3 h4d4 c1e3 d4b2 b1d2 b2a1,1556,"[""advantage"", ""deflection"", ""long"", ""opening"", ""trappedPiece""]"
keUyA,3rk2r/ppq1bppp/2b1p3/3nN2Q/8/3B4/PPP2PPP/R1B1R1K1 b k - 5 13,d5f6 h5f7,901,"[""attackingF2F7"", ""mate"", ""mateIn1"", ""middlegame"", ""oneMove""]"
sLz3h,2r5/5p1k/2pq1Ppp/p1R5/Pp2Q3/1P1r3P/1P4P1/2R3K1 w - - 0 28,c5c6 c8c6 e4c6 d3d1 c1d1 d6c6,1859,"[""crushing"", ""deflection"", ""endgame"", ""long"", ""master""]"
WWSSV,5r2/pppk3p/2n1p3/1Q6/2ppq3/8/PPP2P1P/RN3RK1 w - - 2 19,b1d2 f8g8 b5g5 g8g5,1278,"[""mate"", ""mateIn2"", ""middlegame"", ""short""]"
8elG7,5k2/R7/2p5/4PP2/6p1/2r5/p5K1/8 b - - 3 45,c3c2 g2g3 c2e2 e5e6,1603,"[""advantage"", ""defensiveMove"", ""endgame"", ""master"", ""rookEndgame"", ""short""]"
yYfRH,8/p7/7p/1P6/P2kp1pP/5pP1/3K1P2/8 b - - 1 37,e4e3 f2e3 d4c5 e3e4 f3f2 d2e2,1377,"[""crushing"", ""endgame"", ""long"", ""master"", ""pawnEndgame"", ""quietMove""]"
4AMbe,8/8/1Pk4p/6p1/7P/6P1/7K/8 b - - 0 42,g5h4 g3g4 c6b6 h2h3 b6c6 h3h4 c6d5 h4h5,1997,"[""crushing"", ""endgame"", ""pawnEndgame"", ""quietMove"", ""veryLong""]"
jbmWR,r2q1rk1/ppp2ppp/3bb3/6N1/2BP1Pn1/P5P1/1PQ4P/R1B2RK1 b - - 4 15,e6c4 c2h7,986,"[""kingsideAttack"", ""mate"", ""mateIn1"", ""oneMove"", ""opening""]"
BPxS4,8/1r5p/4p1p1/1Pk2p2/2Nb3P/6P1/4KP2/2R5 b - - 8 42,b7b5 c4a3 c5b6 a3b5,1070,"[""advantage"", ""discoveredAttack"", ""discoveredCheck"", ""endgame"", ""short""]"
gJW4r,k2r4/1p6/p3p2q/4bpp1/2Q3p1/6P1/PPK2RB1/7r b - - 1 32,h1h2 c4a6 a8b8 a6b7,1418,"[""mate"", ""mateIn2"", ""middlegame"", ""pin"", ""queensideAttack"", ""short""]"
ojk8Z,3r2k1/3r1pq1/p4R1p/1p1p4/3P1Q2/3B3P/PP3PP1/6K1 b - - 8 28,d7d6 f6d6 d8d6 f4d6,1459,"[""crushing"", ""endgame"", ""short""]"
a80hw,r3k2r/pp3ppp/1np1pn2/5b2/3q4/2NP1BP1/PPP1Q1PP/R3NR1K b kq - 2 14,b6d5 f3d5 f6d5 f1f5 d5c3 b2c3,1874,"[""crushing"", ""discoveredAttack"", ""long"", ""middlegame"", ""pin""]"
Nqklk,1q4k1/p4ppp/2p1r2r/2Qp4/8/4P2P/PPR2PP1/2R3K1 w - - 1 24,c5d5 c6d5 c2c8 e6e8 c8b8 e8b8,1827,"[""advantage"", ""endgame"", ""hangingPiece"", ""long""]"
PJXmf,3r2k1/pp2rpp1/7p/3pPb2/1N6/1P4QP/q4PP1/3RR1K1 b - - 1 29,a2b2 b4d5 d8d5 d1d5,1486,"[""advantage"", ""middlegame"", ""short""]"
k6l4d,3r2k1/Q4p1p/5p2/8/8/P6P/4qPP1/2R3K1 w - - 1 30,c1c7 d8d1 g1h2 e2e5,1154,"[""crushing"", ""endgame"", ""short""]"
qurEy,r3k1r1/pp5p/3qpp2/3pNp1Q/3Pn3/2P4P/PP3PP1/R4RK1 b q - 1 17,e8f8 h5f7,1032,"[""mate"", ""mateIn1"", ""middlegame"", ""oneMove""]"
WcygE,8/1p6/2b1kp1R/6B1/3P4/Pr1K1P2/8/8 w - - 2 38,d3c4 c6d5 c4c5 b7b6,1528,"[""endgame"", ""master"", ""mate"", ""mateIn2"", ""short""]"
6xGR1,3r4/2R5/1p3qpk/8/P2p1Pp1/1P4Q1/5K2/8 b - - 1 45,f6f5 g3h4 f5h5 h4d8 h5h2 f2e1,1772,"[""crushing"", ""endgame"", ""fork"", ""long""]"
hsMYl,1r3rk1/4Nppp/p2pb3/8/2pnP2R/3B4/Pq4PP/R2Q3K b - - 1 21,g8h8 h4h7 h8h7 d1h5,1280,"[""anastasiaMate"", ""attraction"", ""kingsideAttack"", ""mate"", ""mateIn2"", ""middlegame"", ""sacrifice"", ""short""]"
OqeHe,8/8/5K2/7p/5kp1/7P/6P1/8 w - - 0 53,f6g6 g4h3 g2h3 h5h4 g6f6 f4g3 f6e5 g3h3,1980,"[""crushing"", ""endgame"", ""pawnEndgame"", ""quietMove"", ""veryLong""]"
jfIkQ,2rq1r1k/1b5p/1p2Q3/2nP4/2P3p1/8/P1R1BPPP/R3N1K1 w - - 1 27,e6g4 d8f6 e2f1 f6a1,1822,"[""advantage"", ""middlegame"", ""short""]"
qIUmJ,8/1p6/p1p3k1/P3Q1pp/1P1P1P2/6P1/3q1K2/8 w - - 5 75,f2f3 g5g4 f3e4 d2e2,1296,"[""endgame"", ""mate"", ""mateIn2"", ""queenEndgame"", ""short""]"
9mAMy,8/5p2/4p1p1/1k2P2p/3K1P1P/6P1/8/8 w - - 2 50,d4e4 b5c4 e4e3 c4c3 e3f3 c3d3,1896,"[""advantage"", ""defensiveMove"", ""endgame"", ""long"", ""pawnEndgame"", ""zugzwang""]"
yrGKm,r5r1/1pp2ppk/3p3p/pPP3q1/P2Nn2n/Q3P3/1B2BPPP/R2R2K1 w - - 3 27,d4f3 g5g2,774,"[""kingsideAttack"", ""mate"", ""mateIn1"", ""middlegame"", ""oneMove""]"
GgQZc,8/5p1k/8/3p1rPp/1r3P1P/3Q1R2/P3q3/1K1R4 w - - 7 39,b1a1 e2b2,966,"[""endgame"", ""mate"", ""mateIn1"", ""oneMove""]"
iDuw7,7r/pr3k1p/4Rp2/8/2p5/8/PP3PPP/3R2K1 w - - 1 26,d1d6 c4c3 b2b3 c3c2,2319,"[""advancedPawn"", ""advantage"", ""endgame"", ""rookEndgame"", ""short""]"
Whp9N,2k5/2p1p1b1/2p1P1pp/2N5/6P1/4r1B1/PPP4P/2K5 b - - 0 26,g7e5 c1d2 e5d4 g3f2 e3h3 f2d4,2074,"[""advantage"", ""endgame"", ""long"", ""skewer""]"
tIs7L,N2r4/pp2kp1p/4b3/2b1q1p1/5R2/8/PPP2PPP/R1B2QK1 w - - 0 17,c1e3 g5f4 e3c5 e5c5,1876,"[""crushing"", ""middlegame"", ""short""]"
v9CFZ,r4rk1/pp3p2/2b1pbp1/3pB3/5P2/1N5R/PPP3P1/2K4R b - - 2 24,f6g7 h3h8 g7h8 h1h8,1531,"[""kingsideAttack"", ""mate"", ""mateIn2"", ""middlegame"", ""operaMate"", ""sacrifice"", ""short""]"
YM7Jl,2b2rk1/5p1p/p2pqB2/2p1p3/2PnP3/6NP/Pr4B1/R2Q1RK1 w - - 1 22,d1c1 b2g2 g1g2 e6h3 g2f2 h3h2,1702,"[""advantage"", ""attraction"", ""exposedKing"", ""kingsideAttack"", ""long"", ""middlegame""]"
5qy0w,5k2/1p4p1/pR4Pp/P2P1r2/8/8/6P1/6K1 w - - 2 42,d5d6 f5b5 d6d7 f8e7 b6d6 e7d8,2117,"[""crushing"", ""endgame"", ""long"", ""rookEndgame""]"
